khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
M15,close,170,401.0,7.47219943113214,7.167878088104692,2.954986159060624,0.3458267723840543,12.319988265033162,2247.095857855362
M15,close,171,401.0,7.317073998364018,7.017795009811553,2.9103840551540174,0.3370238132371418,11.981457349380621,2247.0510773067326
M15,close,172,401.0,7.183814007251423,6.897526686947494,2.8784395160659906,0.32940407128554267,11.703943270815492,2247.3142543640897
M15,close,173,401.0,7.1015895267245135,6.815688677981151,2.782329867751789,0.3252362216196747,11.383712880974345,2247.36872319202
M15,close,174,401.0,7.185576914394033,6.971621331281264,2.958068796354312,0.3283045458624211,11.664157647371985,2247.4348129675814
M15,close,175,401.0,7.275682921665313,6.9015847228385026,3.091805013192993,0.3338539938771002,11.74884562263118,2247.6603266832913
M15,close,176,401.0,7.53130971992114,7.177173752608416,3.0720027062453497,0.3461185424290559,12.804047727343193,2247.559541147132
M15,close,177,401.0,7.29198072263521,7.214089171265026,2.8843348754955462,0.3337285745016105,11.806906078402145,2247.720957605985
M15,close,178,401.0,7.344998441232841,7.120506506850984,2.8870915562737727,0.33623575671385064,11.641628914137296,2247.728902743142
M15,close,179,401.0,7.227811869311805,7.014284327689154,2.813599176234821,0.3266791805027041,12.038680163650419,2247.707386533666
M15,close,180,401.0,7.391078129515574,7.018895965779107,3.0191808124613937,0.336244656076351,11.540976767497622,2247.793154613466
M15,close,181,401.0,7.523696166993023,7.160913601898952,2.9800140302637503,0.3406456251651491,11.877864227097701,2247.7277680798006
M15,close,182,401.0,7.352211921488769,7.089249378139504,2.809211116348665,0.3330604620940189,11.10974133170657,2247.5830049875312
M15,close,183,401.0,7.316010482734696,7.1528618107723965,2.9449438593946877,0.33111786286994527,11.293830350956984,2247.5163316708226
M15,close,184,401.0,7.226880935398526,6.952260499862852,2.8885200680093646,0.3274609700030953,11.087283732762469,2247.3500997506235
M15,close,185,401.0,7.285694011622139,7.106475177393144,2.9101663223326093,0.3297516658800342,11.310142960078656,2247.4631371571077
M15,close,186,401.0,7.224265285648365,7.022109346518644,2.866264973517806,0.32688380424413743,11.211371876415047,2247.602199501247
M15,close,187,401.0,7.370310811466623,7.115672838228064,3.0636347180232506,0.33480499547272,11.253135361599924,2247.4989251870325
M15,close,188,401.0,7.225279819226778,7.141977357329319,2.8632699863556477,0.33003294228057534,11.294969748858104,2247.417226932668
M15,close,189,401.0,7.240275198792169,7.1140441225112,2.930849656705232,0.3291630295387223,11.25596863817723,2247.472855361596
M15,close,190,401.0,7.35369850872245,7.147336713417767,2.901846530151793,0.33539410380587537,11.488392049963412,2247.4631521197007
M15,close,191,401.0,7.317561982502227,7.289734624391984,3.059054289057626,0.3344724313278023,11.734980851711056,2247.2920698254366
M15,close,192,401.0,7.410280820971848,7.374183152883909,3.017882803179242,0.3371531145756241,11.92222881520647,2247.5158653366584
M15,close,193,401.0,7.320793320130564,7.264057389022782,2.7565855396804593,0.3332134575441095,12.008784773323649,2247.5893042394014
M15,close,194,401.0,7.303043245282625,7.275844796984121,2.940422637833491,0.3314461098211685,11.953747577841021,2247.558521197008
M15,close,195,401.0,7.33712943819901,7.145004709477083,3.1184367004381253,0.3335464544998569,12.345421053565044,2247.3283416458853
M15,close,196,401.0,7.4738909266769085,7.2752935039576645,3.1806392432415174,0.34178594910272236,12.76329137811212,2247.3600199501248
M15,close,197,401.0,7.380631180583125,7.142780176474587,3.1002712530902863,0.33649662578025347,12.234581780966595,2247.2504538653366
M15,close,198,401.0,7.445501828842974,7.176604461514852,2.9874622389669074,0.33793224416185574,12.44642420206922,2247.114044887781
M15,close,199,401.0,7.627465018782388,7.443942244832558,3.2241165667164937,0.3457972044660598,12.820302999124868,2246.9118678304235
