time,macro_tone
2019-08-25 00:00:00+00:00,-1.8035
2019-08-26 00:00:00+00:00,-2.0054
2019-08-27 00:00:00+00:00,-1.5842
2019-08-28 00:00:00+00:00,-1.4004
2019-08-29 00:00:00+00:00,-1.4118
2019-08-30 00:00:00+00:00,-1.595
2019-08-31 00:00:00+00:00,-1.2638
2019-09-01 00:00:00+00:00,-0.0243
2019-09-02 00:00:00+00:00,-1.4472
2019-09-03 00:00:00+00:00,-1.7192
2019-09-04 00:00:00+00:00,-1.7735
2019-09-05 00:00:00+00:00,-1.4868
2019-09-06 00:00:00+00:00,-2.1761
2019-09-07 00:00:00+00:00,-1.7558
2019-09-08 00:00:00+00:00,-1.3913
2019-09-09 00:00:00+00:00,-1.3839
2019-09-10 00:00:00+00:00,-1.347
2019-09-11 00:00:00+00:00,-1.3042
2019-09-12 00:00:00+00:00,-1.3762
2019-09-13 00:00:00+00:00,-1.2962
2019-09-14 00:00:00+00:00,-1.7369
2019-09-15 00:00:00+00:00,-1.9321
2019-09-16 00:00:00+00:00,-2.1577
2019-09-17 00:00:00+00:00,-2.1615
2019-09-18 00:00:00+00:00,-2.2416
2019-09-19 00:00:00+00:00,-1.8822
2019-09-20 00:00:00+00:00,-1.8849
2019-09-21 00:00:00+00:00,-1.2864
2019-09-22 00:00:00+00:00,-1.5502
2019-09-23 00:00:00+00:00,-1.3573
2019-09-24 00:00:00+00:00,-1.3851
2019-09-25 00:00:00+00:00,-1.6146
2019-09-26 00:00:00+00:00,-1.4897
2019-09-27 00:00:00+00:00,-1.6012
2019-09-28 00:00:00+00:00,-1.7777
2019-09-29 00:00:00+00:00,-1.6061
2019-09-30 00:00:00+00:00,-1.7613
2019-10-01 00:00:00+00:00,-1.9197
2019-10-02 00:00:00+00:00,-1.8296
2019-10-03 00:00:00+00:00,-1.7529
2019-10-04 00:00:00+00:00,-2.0542
2019-10-05 00:00:00+00:00,-2.0676
2019-10-06 00:00:00+00:00,-2.0267
2019-10-07 00:00:00+00:00,-1.8045
2019-10-08 00:00:00+00:00,-1.5942
2019-10-09 00:00:00+00:00,-1.6465
2019-10-10 00:00:00+00:00,-1.1902
2019-10-11 00:00:00+00:00,-1.5635
2019-10-12 00:00:00+00:00,-1.5836
2019-10-13 00:00:00+00:00,-1.1143
2019-10-14 00:00:00+00:00,-0.9999
2019-10-15 00:00:00+00:00,-1.3551
2019-10-16 00:00:00+00:00,-1.2988
2019-10-17 00:00:00+00:00,-1.3385
2019-10-18 00:00:00+00:00,-1.4406
2019-10-19 00:00:00+00:00,-1.8734
2019-10-20 00:00:00+00:00,-1.7358
2019-10-21 00:00:00+00:00,-1.1954
2019-10-22 00:00:00+00:00,-1.1164
2019-10-23 00:00:00+00:00,-1.3613
2019-10-24 00:00:00+00:00,-1.7316
2019-10-25 00:00:00+00:00,-1.3963
2019-10-26 00:00:00+00:00,-2.6712
2019-10-27 00:00:00+00:00,-0.7767
2019-10-28 00:00:00+00:00,-1.2884
2019-10-29 00:00:00+00:00,-1.0665
2019-10-30 00:00:00+00:00,-1.7537
2019-10-31 00:00:00+00:00,-1.5651
2019-11-01 00:00:00+00:00,-1.5443
2019-11-02 00:00:00+00:00,-1.2974
2019-11-03 00:00:00+00:00,-1.0754
2019-11-04 00:00:00+00:00,-0.9345
2019-11-05 00:00:00+00:00,-0.7031
2019-11-06 00:00:00+00:00,-0.7728
2019-11-07 00:00:00+00:00,-1.0468
2019-11-08 00:00:00+00:00,-0.9294
2019-11-09 00:00:00+00:00,-1.0885
2019-11-10 00:00:00+00:00,-2.1319
2019-11-11 00:00:00+00:00,-1.6941
2019-11-12 00:00:00+00:00,-1.3418
2019-11-13 00:00:00+00:00,-1.28
2019-11-14 00:00:00+00:00,-1.57
2019-11-15 00:00:00+00:00,-1.3551
2019-11-16 00:00:00+00:00,-1.6173
2019-11-17 00:00:00+00:00,-0.8214
2019-11-18 00:00:00+00:00,-0.8563
2019-11-19 00:00:00+00:00,-1.3889
2019-11-20 00:00:00+00:00,-1.2813
2019-11-21 00:00:00+00:00,-1.1685
2019-11-22 00:00:00+00:00,-1.3171
2019-11-23 00:00:00+00:00,-1.5916
2019-11-24 00:00:00+00:00,-0.8487
2019-11-25 00:00:00+00:00,-0.6619
2019-11-26 00:00:00+00:00,-0.2089
2019-11-27 00:00:00+00:00,-0.8641
2019-11-28 00:00:00+00:00,-1.1449
2019-11-29 00:00:00+00:00,-1.2634
2019-11-30 00:00:00+00:00,-0.6813
2019-12-01 00:00:00+00:00,-1.3199
2019-12-02 00:00:00+00:00,-1.2155
2019-12-03 00:00:00+00:00,-1.7094
2019-12-04 00:00:00+00:00,-1.1364
2019-12-05 00:00:00+00:00,-1.2143
2019-12-06 00:00:00+00:00,-1.3321
2019-12-07 00:00:00+00:00,-1.4419
2019-12-08 00:00:00+00:00,-2.0793
2019-12-09 00:00:00+00:00,-1.4565
2019-12-10 00:00:00+00:00,-1.6468
2019-12-11 00:00:00+00:00,-1.3584
2019-12-12 00:00:00+00:00,-0.8716
2019-12-13 00:00:00+00:00,-0.9365
2019-12-14 00:00:00+00:00,-1.3437
2019-12-15 00:00:00+00:00,-0.8152
2019-12-16 00:00:00+00:00,-0.7304
2019-12-17 00:00:00+00:00,-0.8761
2019-12-18 00:00:00+00:00,-0.7645
2019-12-19 00:00:00+00:00,-1.3431
2019-12-20 00:00:00+00:00,-0.8239
2019-12-21 00:00:00+00:00,-1.2831
2019-12-22 00:00:00+00:00,-0.906
2019-12-23 00:00:00+00:00,-1.0368
2019-12-24 00:00:00+00:00,-0.943
2019-12-25 00:00:00+00:00,-0.3955
2019-12-26 00:00:00+00:00,-0.4156
