time,macro_vol
2020-01-24 00:00:00+00:00,0.4617
2020-01-25 00:00:00+00:00,0.2754
2020-01-26 00:00:00+00:00,0.3177
2020-01-27 00:00:00+00:00,0.4647
2020-01-28 00:00:00+00:00,0.4932
2020-01-29 00:00:00+00:00,0.6904
2020-01-30 00:00:00+00:00,0.7888
2020-01-31 00:00:00+00:00,0.5386
2020-02-01 00:00:00+00:00,0.4375
2020-02-02 00:00:00+00:00,0.3378
2020-02-03 00:00:00+00:00,0.5312
2020-02-04 00:00:00+00:00,0.4459
2020-02-05 00:00:00+00:00,0.627
2020-02-06 00:00:00+00:00,0.5199
2020-02-07 00:00:00+00:00,0.5553
2020-02-08 00:00:00+00:00,0.3118
2020-02-09 00:00:00+00:00,0.3239
2020-02-10 00:00:00+00:00,0.6259
2020-02-11 00:00:00+00:00,0.6297
2020-02-12 00:00:00+00:00,0.563
2020-02-13 00:00:00+00:00,0.5577
2020-02-14 00:00:00+00:00,0.5265
2020-02-15 00:00:00+00:00,0.3273
2020-02-16 00:00:00+00:00,0.3876
2020-02-17 00:00:00+00:00,0.5194
2020-02-18 00:00:00+00:00,0.4425
2020-02-19 00:00:00+00:00,0.6193
2020-02-20 00:00:00+00:00,0.5386
2020-02-21 00:00:00+00:00,0.5648
2020-02-22 00:00:00+00:00,0.4377
2020-02-23 00:00:00+00:00,0.3536
2020-02-24 00:00:00+00:00,0.5849
2020-02-25 00:00:00+00:00,0.4931
2020-02-26 00:00:00+00:00,0.512
2020-02-27 00:00:00+00:00,0.5488
2020-02-28 00:00:00+00:00,0.887
2020-02-29 00:00:00+00:00,0.8611
2020-03-01 00:00:00+00:00,0.5512
2020-03-02 00:00:00+00:00,0.7405
2020-03-03 00:00:00+00:00,1.4384
2020-03-04 00:00:00+00:00,1.2938
2020-03-05 00:00:00+00:00,0.8479
2020-03-06 00:00:00+00:00,0.7738
2020-03-07 00:00:00+00:00,0.476
2020-03-08 00:00:00+00:00,0.3867
2020-03-09 00:00:00+00:00,0.9405
2020-03-10 00:00:00+00:00,0.6988
2020-03-11 00:00:00+00:00,1.2021
2020-03-12 00:00:00+00:00,0.8852
2020-03-13 00:00:00+00:00,1.0623
2020-03-14 00:00:00+00:00,0.4354
2020-03-15 00:00:00+00:00,0.6988
2020-03-16 00:00:00+00:00,2.4481
2020-03-17 00:00:00+00:00,1.1862
2020-03-18 00:00:00+00:00,1.0717
2020-03-19 00:00:00+00:00,1.1376
2020-03-20 00:00:00+00:00,0.8991
2020-03-21 00:00:00+00:00,0.6219
2020-03-22 00:00:00+00:00,0.7873
2020-03-23 00:00:00+00:00,1.1853
2020-03-24 00:00:00+00:00,1.2417
2020-03-25 00:00:00+00:00,0.8284
2020-03-26 00:00:00+00:00,0.7839
2020-03-27 00:00:00+00:00,1.0479
2020-03-28 00:00:00+00:00,0.5389
2020-03-29 00:00:00+00:00,0.3628
2020-03-30 00:00:00+00:00,0.6745
2020-03-31 00:00:00+00:00,0.5953
2020-04-01 00:00:00+00:00,0.5498
2020-04-02 00:00:00+00:00,0.5769
2020-04-03 00:00:00+00:00,0.6695
2020-04-04 00:00:00+00:00,0.3543
2020-04-05 00:00:00+00:00,0.3242
2020-04-06 00:00:00+00:00,0.6129
2020-04-07 00:00:00+00:00,0.5435
2020-04-08 00:00:00+00:00,0.4577
2020-04-09 00:00:00+00:00,0.8516
2020-04-10 00:00:00+00:00,0.7863
2020-04-11 00:00:00+00:00,0.3485
2020-04-12 00:00:00+00:00,0.4369
2020-04-13 00:00:00+00:00,0.6203
2020-04-14 00:00:00+00:00,0.6303
2020-04-15 00:00:00+00:00,0.6347
2020-04-16 00:00:00+00:00,0.7015
2020-04-17 00:00:00+00:00,0.6505
2020-04-18 00:00:00+00:00,0.5114
2020-04-19 00:00:00+00:00,0.3233
2020-04-20 00:00:00+00:00,0.5243
2020-04-21 00:00:00+00:00,0.5256
2020-04-22 00:00:00+00:00,0.5074
2020-04-23 00:00:00+00:00,0.5739
2020-04-24 00:00:00+00:00,0.5306
2020-04-25 00:00:00+00:00,0.2929
